id_1,id_2
1,2370
1,21142
1,20363
1,23830
6067,19720
6067,20183
3,4950
3,18029
4,2865
4,9342
5,27803
6,27803
6,18612
6,31890
6,18562
7,37493
7,33643
7,30199
7,35773
7,9051
34957,9891
34957,9340
34957,14820
34957,22516
8,19253
8,11083
8,10080
8,14003
8,4793
9,15477
9,33129
9,19407
10,35842
10,37280
10,2078
10,34238
10,19345
10,19973
10,4708
10,31890
10,15495
10,12102
10,30199
10,26143
10,12894
10,11514
10,16321
10,22564
10,22666
10,29876
10,33500
10,14720
10,37577
10,36578
10,3797
10,4530
10,27340
10,26639
10,915
10,10456
10,17332
10,13638
10,18850
10,31938
10,10535
10,23972
11,27803
11,31890
12,20854
12,9598
12,11051
14,34989
14,15143
14,36404
14,30809
14,18910
14,31126
14,7825
14,28922
14,4174
15,10219
15,17787
15,19253
15,12921
15,30002
15,5310
15,23204
15,10080
15,27803
15,1501
15,36652
15,33671
15,31890
15,29892
17,36099
18,27696
18,23458
20,33863
20,29082
21,12261
21,34114
21,21547
21,15191
21,14242
21,23783
21,36632
21,19470
21,5300
21,20919
21,33029
21,10352
21,12986
21,21847
21,12396
21,8172
21,6790
21,5081
21,33684
21,27803
22,32575
23,21298
23,34114
23,21498
23,35359
23,31890
24,33029
24,28761
24,36652
24,22059
24,7976
24,12523
24,3712
24,32060
24,10840
24,9722
24,2431
6071,5061
6071,31987
6071,1739
26,15554
26,34606
27,28477
27,9947
27,1659
27,37475
27,32771
27,30417
27,2035
27,18588
27,25948
27,30502
27,14177
27,3491
27,17644
27,7415
27,25129
27,14185
27,22836
27,35065
27,8360
27,33424
27,17949
27,23906
27,7847
27,14341
27,7495
27,25756
27,32507
27,17221
27,12838
27,714
27,13090
27,35668
27,24810
27,10001
27,11889
27,27874
28,13003
29,31890
30,6631
30,20854
30,23664
30,19222
31,12505
31,15908
31,17736
32,4293
32,22351
33,5398
34,27474
34,27804
24655,18377
24655,20084
24655,22464
24655,22615
24655,36628
24655,18244
24655,27022
24655,29886
24655,22881
24655,34440
24655,13493
24655,2417
24655,4528
24655,5412
24655,26585
24655,15806
24655,27268
24655,418
24655,13581
24655,1070
24655,19222
24655,4011
24655,12929
24655,33303
24655,33856
35,23589
35,35773
35,15270
35,25652
35,3153
35,18274
35,5300
35,8635
35,308
35,25218
35,21142
35,29982
35,31126
35,7562
35,34766
35,30543
35,16599
36,35773
36,37049
36,18638
36,11279
36,3153
36,28814
36,32459
36,35616
36,34840
36,27367
6073,896
6073,32126
6073,4382
6073,11079
6073,8784
6073,22104
6073,24654
6073,27966
38,717
38,22452
38,1766
38,14701
38,25314
38,10281
38,23783
38,18028
38,1524
38,11439
38,34536
38,3491
38,26644
38,9677
38,31518
38,32139
38,29886
38,11175
38,13189
38,32309
38,23838
38,20191
38,6301
38,21943
38,18403
38,18204
38,29218
38,20773
38,11041
38,27867
38,21358
38,29387
38,8646
38,37463
38,22950
38,28930
38,14483
38,5323
38,16958
38,16798
38,32180
38,17230
38,8416
38,36628
38,12265
38,13629
38,22491
38,393
38,16321
38,6645
38,32821
38,5487
38,20236
38,34426
38,11271
38,12393
38,24965
38,8360
38,1003
38,22899
38,20836
40,14266
40,31917
40,3712
41,15936
41,12648
41,22395
41,30403
41,15278
41,2300
42,3546
42,5143
42,31731
42,11051
42,31890
42,26410
42,33643
42,5338
42,5629
42,14558
42,33471
42,37578
42,30596
42,2297
42,73
42,36608
42,7006
42,16350
42,14502
42,35523
42,1356
42,8172
42,14814
42,20854
42,35773
42,15684
45,31090
24499,9946
24499,34654
24499,12731
24499,18509
24499,24257
24499,15623
24499,9955
24499,25434
24499,3483
24499,33410
24499,592
24499,4292
24499,6641
24499,26639
24499,11124
24499,25739
24499,6854
24499,36163
24499,16496
24499,22836
24499,25307
24499,29360
24499,20478
24499,3789
24499,11617
24499,4451
24499,29055
24499,4819
24499,13439
24499,36971
24499,16797
24499,12876
24499,2804
24499,29536
24499,11927
24499,26839
24499,2078
24499,10154
24499,24744
24499,11010
24499,36659
24499,7027
24499,15066
24499,29243
24499,2252
24499,17917
24499,31890
24499,30199
24499,10157
24499,10347
24499,20303
24499,27803
24499,10574
24499,12542
24499,35890
24499,4712
24499,32710
24499,28130
24499,34620
24499,10956
24499,11279
24499,23690
24499,981
24499,19041
24499,9919
24499,5300
24499,848
24499,12986
24499,5892
24499,27655
24499,32060
24499,33988
24499,35468
24499,23209
24499,23767
24499,24935
24499,9008
24499,6827
24499,73
24499,12630
1193,28234
1193,4036
48,10595
49,5552
49,26597
50,19222
50,24181
51,34304
51,33950
52,20594
52,5496
52,22321
52,24661
52,25285
52,23684
52,5845
52,591
52,1132
52,5636
52,7435
52,34429
